# name	cuisine_slug	confidence
# REVIEW THIS before --emit-sql. Delete or correct any line.
1 Mico 12 Llp	null	high
1 Stop Dhido Nepali Restaurant Arlington	indian	low
1021 Canyon Oaks Apartment, Llc	null	high
123 Street Food	food-truck	low
129 Medi Inc	null	high
1420 Plaza Place Partners, L.l.c	null	high
161 Bistro & Bakery	bakery	medium
1846 Restaurant	null	high
190 Restaurant Group Llc	null	high
1902 Restaurant	null	high
1933 Bar And Grill	bar	medium
2 And 1 Restaurant	null	high
2 Compas Kitchen	mexican	low
20 Feet Llc	null	high
20 to 1 Asian Social Bistro	pan-asian	high
2002 Pho Corporation	vietnamese	high
214 Taqueria	tacos	high
2153698 Alberta Ltd - Canadian Company Using Borrower Addres	null	high
2323 Henderson 101 102 Llc	null	high
238 Davis Project Inc	null	high
24 Hour Staffing Ll Co	null	high
24 Medical Llc	null	high
2927 Hattenluke Hospitality Group	null	high
2dd - Two Doors Down	null	high
2msolutions Inc	null	high
2perform	null	high
3 Mien Quan Bbq	vietnamese	medium
3 Parrots, Inc. Dba 3 Parrots Taco Shop	tacos	high
303 Liquor Depot Llp	null	medium
316 W Seventh Lp	null	high
33 X The Yard Llc	null	high
350 North St. Paul Llc	null	high
360 BAR & Lounge	bar	medium
360 Brunch House	brunch	high
360 Tacos LLC	tacos	high
3605 Bar & Restaurant Llc	bar	medium
369 Bbq	barbecue-classic	high
3916 McDermott Rd, Plano, TX	null	high
3rd Street Market	null	medium
3v Movie &amp Eatery Llc	null	medium
408 N. Bishop Gamechanger, Llc	null	high
40TWO	null	high
443 Furniture One, Inc	null	high
4511 Restaurant Group	null	high
4511 Restaurant Group, Ltd	null	high
48 Nights	null	high
4S Barbque	barbecue-classic	high
4th Quarter Boyz Inc	null	high
5 Fox Investment Corp	null	high
504 Bar And Grill, Llc	bar	medium
50Th St Caboose	null	medium
54th Street Restaurant & Drafthouse	new-american	low
54th Street Restaurant and Drafthouse	new-american	low
